Sample,Cross,Tank,System,Year,Polyp,UniPolyp,Mesentry,UniMesentary,Egg,D1,D2,AverageDiameter,Treatment
2621,LT,IHP1B,IHP1,2021,4,2621_4,1,2621_4_1,1,0.12,0.1,0.11,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,1,2621_4_1,2,0.11,0.17,0.14,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,1,2621_4_1,3,0.06,0.04,0.05,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,2,2621_4_2,1,0.05,0.05,0.05,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,2,2621_4_2,2,0.05,0.05,0.05,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,2,2621_4_2,3,0.1,0.19,0.145,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,3,2621_4_3,1,0.06,0.08,0.07,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,3,2621_4_3,2,0.09,0.05,0.07,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,3,2621_4_3,3,0.18,0.1,0.14,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,4,2621_4_4,1,0.07,0.05,0.06,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,4,2621_4_4,2,0.08,0.06,0.07,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,4,2621_4_4,3,0.08,0.06,0.07,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,4,2621_4_4,4,0.05,0.05,0.05,Ambient
2621,LT,IHP1B,IHP1,2021,4,2621_4,4,2621_4_4,5,0.04,0.04,0.04,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,1,2621_5_1,1,0.04,0.04,0.04,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,1,2621_5_1,2,0.05,0.04,0.045,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,1,2621_5_1,3,0.04,0.05,0.045,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,1,2621_5_1,4,0.15,0.26,0.205,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,2,2621_5_2,1,0.08,0.08,0.08,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,2,2621_5_2,2,0.05,0.06,0.055,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,2,2621_5_2,3,0.12,0.24,0.18,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,3,2621_5_3,1,0.06,0.04,0.05,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,3,2621_5_3,2,0.05,0.05,0.05,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,3,2621_5_3,3,0.26,0.15,0.205,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,3,2621_5_3,4,0.25,0.16,0.205,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,4,2621_5_4,1,0.08,0.08,0.08,Ambient
2621,LT,IHP1B,IHP1,2021,5,2621_5,4,2621_5_4,2,0.26,0.12,0.19,Ambient
