Combo,SpecificCombo,Mother,Father,Cross,FertilisationTime,FertCheckTime,UnfertilisedEggCount,FertilisedEggCount,PercentageFertilised,Percentage,TotalCount,Replicate,NightOf
2573X2540,2573X254044554,2573,2540,LL x LT,23:55,1:46,31,69,0.69,69,100,1,24/12/2021
2573X2540,2573X254044554,2573,2540,LL x LT,23:55,1:48,11,89,0.89,89,100,2,24/12/2021
2573X2563,2573X256344554,2573,2563,LL x LT,0:05,1:51,18,82,0.82,82,100,1,24/12/2021
2573X2563,2573X256344554,2573,2563,LL x LT,0:05,1:53,23,77,0.77,77,100,2,24/12/2021
2573X5506,2573X550644554,2573,5506,LL x LT,23:52,1:55,7,93,0.93,93,100,1,24/12/2021
2573X5506,2573X550644554,2573,5506,LL x LT,23:52,1:57,3,97,0.97,97,100,2,24/12/2021
2573X5447,2573X544744554,2573,5447,LL x LL,23:44,1:58,1,99,0.99,99,100,1,24/12/2021
2573X5447,2573X544744554,2573,5447,LL x LL,23:44,2:00,3,97,0.97,97,100,2,24/12/2021
2573X2573,2573X257344554,2573,2573,Selfing,0:03,2:01,100,0,0,0,100,1,24/12/2021
2573X2573,2573X257344554,2573,2573,Selfing,0:03,2:03,100,0,0,0,100,2,24/12/2021
2573X5446,2573X544644554,2573,5446,LL x LL,23:53,2:04,4,96,0.96,96,100,1,24/12/2021
2573X5446,2573X544644554,2573,5446,LL x LL,23:53,2:05,4,96,0.96,96,100,2,24/12/2021
5447X5447,5447X544744554,5447,5447,Selfing,23:45,2:07,100,0,0,0,100,1,24/12/2021
5447X5447,5447X544744554,5447,5447,Selfing,23:45,2:08,100,0,0,0,100,2,24/12/2021
5447X2573,5447X257344554,5447,2573,LL x LL,0:04,2:10,14,86,0.86,86,100,1,24/12/2021
5447X2573,5447X257344554,5447,2573,LL x LL,0:04,2:11,14,86,0.86,86,100,2,24/12/2021
5447X5446,5447X544644554,5447,5446,LL x LL,23:59,2:12,18,82,0.82,82,100,1,24/12/2021
5447X5446,5447X544644554,5447,5446,LL x LL,23:59,2:14,14,86,0.86,86,100,2,24/12/2021
5447X2540,5447X254044554,5447,2540,LL x LT,23:53,2:16,14,86,0.86,86,100,1,24/12/2021
5447X2540,5447X254044554,5447,2540,LL x LT,23:53,2:18,11,89,0.89,89,100,2,24/12/2021
5447X2563,5447X256344554,5447,2563,LL x LT,0:04,2:20,13,87,0.87,87,100,1,24/12/2021
5447X2563,5447X256344554,5447,2563,LL x LT,0:04,2:21,16,84,0.84,84,100,2,24/12/2021
5447X5506,5447X550644554,5447,5506,LL x LT,23:53,2:23,17,83,0.83,83,100,1,24/12/2021
5447X5506,5447X550644554,5447,5506,LL x LT,23:53,2:25,13,87,0.87,87,100,2,24/12/2021
5446X2540,5446X254044554,5446,2540,LL x LT,23:49,2:27,1,99,0.99,99,100,1,24/12/2021
5446X2540,5446X254044554,5446,2540,LL x LT,23:50,2:28,1,99,0.99,99,100,2,24/12/2021
5446X2563,5446X256344554,5446,2563,LL x LT,0:01,2:30,0,100,1,100,100,1,24/12/2021
5446X2563,5446X256344554,5446,2563,LL x LT,0:01,2:31,0,100,1,100,100,2,24/12/2021
5446X5506,5446X550644554,5446,5506,LL x LT,23:56,2:33,3,97,0.97,97,100,1,24/12/2021
5446X5506,5446X550644554,5446,5506,LL x LT,23:56,2:35,2,98,0.98,98,100,2,24/12/2021
5506X2563,5506X256344554,5506,2563,LT x LT,23:42,2:37,7,93,0.93,93,100,1,24/12/2021
5506X2551,5506X255144554,5506,2551,LT x LT,23:42,2:39,20,80,0.8,80,100,1,24/12/2021
5506X2540,5506X254044554,5506,2540,LT x LT,23:44,2:41,12,88,0.88,88,100,1,24/12/2021
5506X5506,5506X550644554,5506,5506,Selfing,23:54,2:44,100,0,0,0,100,1,24/12/2021
5506X2578,5506X257844554,5506,2578,LT x LT,23:57,2:47,19,81,0.81,81,100,1,24/12/2021
5506X2551,5506X255144554,5506,2551,LT x LT,23:42,2:49,6,94,0.94,94,100,2,24/12/2021
5506X2563,5506X256344554,5506,2563,LT x LT,0:03,2:51,7,93,0.93,93,100,2,24/12/2021
5506X2540,5506X254044554,5506,2540,LT x LT,23:44,2:52,26,74,0.74,74,100,2,24/12/2021
5506X5506,5506X550644554,5506,5506,Selfing,23:54,2:55,100,0,0,0,100,2,24/12/2021
5506X2578,5506X257844554,5506,2578,LT x LT,23:57,2:56,13,87,0.87,87,100,2,24/12/2021
2563X2551,2563X255144554,2563,2551,LT x LT,23:51,2:58,4,96,0.96,96,100,1,24/12/2021
2563X2563,2563X256344554,2563,2563,Selfing,0:00,2:59,100,0,0,0,100,1,24/12/2021
2563X2540,2563X254044554,2563,2540,LT x LT,23:53,3:00,26,74,0.74,74,100,1,24/12/2021
