Cross,Date,Percentage,ProportionSpawned,Spawned,NotSpawned
LL,23/12/2021,0,0,0,31
LT,23/12/2021,5.128205128,0.051282051,2,37
LL,24/12/2021,9.677419355,0.096774194,3,28
LT,24/12/2021,20.51282051,0.205128205,8,31
LL,25/12/2021,3.225806452,0.032258065,1,30
LT,25/12/2021,20.51282051,0.205128205,8,31
LL,26/12/2021,45.16129032,0.451612903,14,17
LT,26/12/2021,66.66666667,0.666666667,26,13
LL,27/12/2021,3.225806452,0.032258065,1,30
LT,27/12/2021,28.20512821,0.282051282,11,28
LL,28/12/2021,41.93548387,0.419354839,13,18
LT,28/12/2021,20.51282051,0.205128205,8,31
LL,29/12/2021,3.225806452,0.032258065,1,30
LT,29/12/2021,10.25641026,0.102564103,4,35
LL,30/12/2021,6.451612903,0.064516129,2,29
LT,30/12/2021,0,0,0,39
