ColonyID,Cross,System,Spawned,SettingTime,SpawningTime,Sunset,SpawningHours,SpawningMinutes,SettingHours,SettingMinutes,Date
5436,LT,SGS4,Y,NA,21:53,18:50,NA,153,NA,NA,23/12/2021
2551,LT,SGS4,Y,NA,21:53,18:50,NA,153,NA,NA,23/12/2021
2578,LT,SGS4,Y,NA,21:56,18:50,NA,156,NA,NA,24/12/2021
5436,LT,SGS4,Y,NA,21:56,18:50,NA,156,NA,NA,24/12/2021
2601,LT,SGS4,Y,NA,21:56,18:50,NA,156,NA,NA,24/12/2021
2563,LT,SGS4,Y,NA,21:57,18:50,NA,157,NA,NA,24/12/2021
2540,LT,SGS4,Y,NA,21:58,18:50,NA,158,NA,NA,24/12/2021
2573,LL,SGS4,Y,NA,22:01,18:50,NA,161,NA,NA,24/12/2021
5506,LT,IHP1,Y,NA,22:02,18:50,NA,162,NA,NA,24/12/2021
5447,LL,SGS4,Y,NA,22:01,18:50,NA,161,NA,NA,24/12/2021
5446,LL,SGS4,Y,NA,NA,18:50,NA,NA,NA,NA,24/12/2021
2624,LT,SGS4,Y,NA,NA,18:50,NA,NA,NA,NA,24/12/2021
5485,LL,SGS4,Y,NA,NA,18:50,NA,NA,NA,NA,24/12/2021
5525,LL,SGS4,Y,NA,NA,18:50,NA,NA,NA,NA,24/12/2021
2549,LT,IHP1,Y,NA,NA,18:50,NA,NA,NA,NA,24/12/2021
5499,LT,SGS4,Y,NA,NA,18:50,NA,NA,NA,NA,24/12/2021
5506,LT,IHP1,Y,20:39,21:51,18:50,NA,151,NA,79,25/12/2021
2564,LT,IHP1,Y,20:23,21:51,18:50,NA,151,NA,63,25/12/2021
2602,LT,IHP1,Y,20:37,21:51,18:50,NA,151,NA,77,25/12/2021
2549,LT,IHP1,Y,20:25,21:52,18:50,NA,152,NA,65,25/12/2021
2596,LT,IHP1,Y,20:27,21:53,18:50,NA,153,NA,67,25/12/2021
2601,LT,SGS4,Y,19:37,21:53,18:50,NA,153,NA,17,25/12/2021
2578,LT,SGS4,Y,19:44,21:54,18:50,NA,154,NA,24,25/12/2021
5447,LL,SGS4,Y,20:30,21:54,18:50,NA,154,NA,70,25/12/2021
2540,LT,SGS4,Y,20:30,21:55,18:50,NA,155,NA,70,25/12/2021
5507,LT,SGS4,Y,19:32,21:58,18:50,NA,158,NA,12,26/12/2021
5463,LL,SGS4,N,19:32,NA,18:50,NA,NA,NA,12,26/12/2021
5483,LL,SGS4,Y,19:33,21:59,18:50,NA,159,NA,13,26/12/2021
2624,LT,SGS4,Y,19:33,22:00,18:50,NA,160,NA,13,26/12/2021
5447,LL,SGS4,Y,19:34,NA,18:50,NA,NA,NA,14,26/12/2021
2567,LT,SGS4,Y,19:35,22:00,18:50,NA,160,NA,15,26/12/2021
5495,LL,IHP1,Y,19:38,21:51,18:50,NA,151,NA,18,26/12/2021
2580,LT,IHP1,Y,19:39,21:52,18:50,NA,152,NA,19,26/12/2021
2629,LT,IHP1,Y,19:41,21:53,18:50,NA,153,NA,21,26/12/2021
5506,LT,IHP1,Y,19:42,21:52,18:50,NA,152,NA,22,26/12/2021
2554,LT,IHP1,Y,19:43,NA,18:50,NA,NA,NA,23,26/12/2021
5478,LL,IHP1,Y,19:44,NA,18:50,NA,NA,NA,24,26/12/2021
2575,LT,IHP1,Y,19:44,21:55,18:50,NA,155,NA,24,26/12/2021
2597,LT,IHP1,Y,19:45,21:55,18:50,NA,155,NA,25,26/12/2021
5435,LT,IHP1,Y,19:46,21:55,18:50,NA,155,NA,26,26/12/2021
2596,LT,IHP1,Y,19:47,21:56,18:50,NA,156,NA,27,26/12/2021
