SampleID,Cross,Tank ,System,Polyp,UniPolyp,Eggs(Sample),Mesentary,Count,Year,Treatment
2534,LT,IHP1A,IHP1,1,2534_1,Y,1,4,2020,Ambient
2534,LT,IHP1A,IHP1,1,2534_1,Y,2,5,2020,Ambient
2534,LT,IHP1A,IHP1,1,2534_1,Y,3,NA,2020,Ambient
2534,LT,IHP1A,IHP1,1,2534_1,Y,4,NA,2020,Ambient
2534,LT,IHP1A,IHP1,2,2534_2,Y,1,3,2020,Ambient
2534,LT,IHP1A,IHP1,2,2534_2,Y,2,2,2020,Ambient
2534,LT,IHP1A,IHP1,2,2534_2,Y,3,6,2020,Ambient
2534,LT,IHP1A,IHP1,2,2534_2,Y,4,6,2020,Ambient
2534,LT,IHP1A,IHP1,3,2534_3,N,1,NA,2020,Ambient
2534,LT,IHP1A,IHP1,3,2534_3,N,2,NA,2020,Ambient
2534,LT,IHP1A,IHP1,3,2534_3,N,3,NA,2020,Ambient
2534,LT,IHP1A,IHP1,3,2534_3,N,4,NA,2020,Ambient
2599,LT,SGS4C,SGS4,1,2599_1,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,1,2599_1,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,1,2599_1,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,1,2599_1,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,2,2599_2,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,2,2599_2,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,2,2599_2,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,2,2599_2,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,3,2599_3,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,3,2599_3,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,3,2599_3,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,3,2599_3,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,4,2599_4,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,4,2599_4,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,4,2599_4,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,4,2599_4,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,5,2599_5,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,5,2599_5,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,5,2599_5,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,5,2599_5,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,6,2599_6,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,6,2599_6,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,6,2599_6,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,6,2599_6,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,7,2599_7,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,7,2599_7,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,7,2599_7,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,7,2599_7,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,8,2599_8,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,8,2599_8,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,8,2599_8,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,8,2599_8,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,9,2599_9,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,9,2599_9,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,9,2599_9,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,9,2599_9,N,4,NA,2020,NA
2599,LT,SGS4C,SGS4,10,2599_10,N,1,NA,2020,NA
2599,LT,SGS4C,SGS4,10,2599_10,N,2,NA,2020,NA
2599,LT,SGS4C,SGS4,10,2599_10,N,3,NA,2020,NA
2599,LT,SGS4C,SGS4,10,2599_10,N,4,NA,2020,NA
2601,LT,SGS4A,SGS4,1,2601_1,Y,1,5,2020,Ambient
2601,LT,SGS4A,SGS4,1,2601_1,Y,2,2,2020,Ambient
2601,LT,SGS4A,SGS4,1,2601_1,Y,3,2,2020,Ambient
2601,LT,SGS4A,SGS4,1,2601_1,Y,4,4,2020,Ambient
2601,LT,SGS4A,SGS4,2,2601_2,Y,1,3,2020,Ambient
2601,LT,SGS4A,SGS4,2,2601_2,Y,2,3,2020,Ambient
2601,LT,SGS4A,SGS4,2,2601_2,Y,3,2,2020,Ambient
2601,LT,SGS4A,SGS4,2,2601_2,NA,4,NA,2020,Ambient
2601,LT,SGS4A,SGS4,3,2601_3,Y,1,5,2020,Ambient
2601,LT,SGS4A,SGS4,3,2601_3,Y,2,4,2020,Ambient
2601,LT,SGS4A,SGS4,3,2601_3,Y,3,6,2020,Ambient
2601,LT,SGS4A,SGS4,3,2601_3,Y,4,NA,2020,Ambient
2601,LT,SGS4A,SGS4,4,2601_4,Y,1,8,2020,Ambient
2601,LT,SGS4A,SGS4,4,2601_4,Y,2,5,2020,Ambient
2601,LT,SGS4A,SGS4,4,2601_4,N,3,NA,2020,Ambient
2601,LT,SGS4A,SGS4,4,2601_4,N,4,NA,2020,Ambient
2601,LT,SGS4A,SGS4,5,2601_5,Y,1,5,2020,Ambient
2601,LT,SGS4A,SGS4,5,2601_5,Y,2,4,2020,Ambient
2601,LT,SGS4A,SGS4,5,2601_5,Y,3,4,2020,Ambient
2601,LT,SGS4A,SGS4,5,2601_5,Y,4,6,2020,Ambient
2601,LT,SGS4A,SGS4,6,2601_6,Y,1,5,2020,Ambient
2601,LT,SGS4A,SGS4,6,2601_6,Y,2,6,2020,Ambient
2601,LT,SGS4A,SGS4,6,2601_6,Y,3,3,2020,Ambient
2601,LT,SGS4A,SGS4,6,2601_6,Y,4,5,2020,Ambient
2601,LT,SGS4A,SGS4,7,2601_7,Y,1,2,2020,Ambient
2601,LT,SGS4A,SGS4,7,2601_7,Y,2,3,2020,Ambient
2601,LT,SGS4A,SGS4,7,2601_7,Y,3,4,2020,Ambient
2601,LT,SGS4A,SGS4,7,2601_7,NA,4,NA,2020,Ambient
2601,LT,SGS4A,SGS4,8,2601_8,Y,1,4,2020,Ambient
2601,LT,SGS4A,SGS4,8,2601_8,Y,2,1,2020,Ambient
2601,LT,SGS4A,SGS4,8,2601_8,Y,3,3,2020,Ambient
2601,LT,SGS4A,SGS4,8,2601_8,Y,4,4,2020,Ambient
2601,LT,SGS4A,SGS4,9,2601_9,NA,1,NA,2020,Ambient
2601,LT,SGS4A,SGS4,9,2601_9,Y,2,3,2020,Ambient
2601,LT,SGS4A,SGS4,9,2601_9,NA,3,NA,2020,Ambient
2601,LT,SGS4A,SGS4,9,2601_9,NA,4,NA,2020,Ambient
2601,LT,SGS4A,SGS4,10,2601_10,NA,1,NA,2020,Ambient
2601,LT,SGS4A,SGS4,10,2601_10,Y,2,3,2020,Ambient
2601,LT,SGS4A,SGS4,10,2601_10,NA,3,NA,2020,Ambient
2601,LT,SGS4A,SGS4,10,2601_10,NA,4,NA,2020,Ambient
5455,LT,SGS4C,SGS4,1,5455_1,Y,1,3,2020,Elevated
5455,LT,SGS4C,SGS4,1,5455_1,Y,2,3,2020,Elevated
5455,LT,SGS4C,SGS4,1,5455_1,Y,3,2,2020,Elevated
5455,LT,SGS4C,SGS4,1,5455_1,Y,4,4,2020,Elevated
5455,LT,SGS4C,SGS4,2,5455_2,Y,1,7,2020,Elevated
5455,LT,SGS4C,SGS4,2,5455_2,Y,2,2,2020,Elevated
5455,LT,SGS4C,SGS4,2,5455_2,N,3,0,2020,Elevated
5455,LT,SGS4C,SGS4,2,5455_2,N,4,0,2020,Elevated
5455,LT,SGS4C,SGS4,3,5455_3,Y,1,4,2020,Elevated
5455,LT,SGS4C,SGS4,3,5455_3,Y,2,1,2020,Elevated
5455,LT,SGS4C,SGS4,3,5455_3,Y,3,6,2020,Elevated
5455,LT,SGS4C,SGS4,3,5455_3,N,4,0,2020,Elevated
5455,LT,SGS4C,SGS4,4,5455_4,Y,1,2,2020,Elevated
5455,LT,SGS4C,SGS4,4,5455_4,N,2,0,2020,Elevated
5455,LT,SGS4C,SGS4,4,5455_4,N,3,0,2020,Elevated
5455,LT,SGS4C,SGS4,4,5455_4,Y,4,4,2020,Elevated
5455,LT,SGS4C,SGS4,5,5455_5,Y,1,2,2020,Elevated
5455,LT,SGS4C,SGS4,5,5455_5,Y,2,3,2020,Elevated
5455,LT,SGS4C,SGS4,5,5455_5,Y,3,2,2020,Elevated
5455,LT,SGS4C,SGS4,5,5455_5,Y,4,4,2020,Elevated
5455,LT,SGS4C,SGS4,6,5455_6,Y,1,3,2020,Elevated
5455,LT,SGS4C,SGS4,6,5455_6,Y,2,3,2020,Elevated
5455,LT,SGS4C,SGS4,6,5455_6,Y,3,3,2020,Elevated
5455,LT,SGS4C,SGS4,6,5455_6,Y,4,3,2020,Elevated
5455,LT,SGS4C,SGS4,7,5455_7,Y,1,3,2020,Elevated
5455,LT,SGS4C,SGS4,7,5455_7,Y,2,2,2020,Elevated
5455,LT,SGS4C,SGS4,7,5455_7,N,3,0,2020,Elevated
5455,LT,SGS4C,SGS4,7,5455_7,N,4,0,2020,Elevated
5455,LT,SGS4C,SGS4,8,5455_8,N,1,0,2020,Elevated
5455,LT,SGS4C,SGS4,8,5455_8,Y,2,2,2020,Elevated
5455,LT,SGS4C,SGS4,8,5455_8,N,3,0,2020,Elevated
5455,LT,SGS4C,SGS4,8,5455_8,Y,4,3,2020,Elevated
5455,LT,SGS4C,SGS4,9,5455_9,Y,1,1,2020,Elevated
5455,LT,SGS4C,SGS4,9,5455_9,Y,2,5,2020,Elevated
5455,LT,SGS4C,SGS4,9,5455_9,N,3,0,2020,Elevated
5455,LT,SGS4C,SGS4,9,5455_9,N,4,0,2020,Elevated
5455,LT,SGS4C,SGS4,10,5455_10,N,1,0,2020,Elevated
5455,LT,SGS4C,SGS4,10,5455_10,N,2,0,2020,Elevated
5455,LT,SGS4C,SGS4,10,5455_10,N,3,0,2020,Elevated
5455,LT,SGS4C,SGS4,10,5455_10,N,4,0,2020,Elevated
5455,LT,SGS4C,SGS4,11,5455_11,Y,1,3,2020,Elevated
5455,LT,SGS4C,SGS4,11,5455_11,Y,2,2,2020,Elevated
5455,LT,SGS4C,SGS4,11,5455_11,Y,3,2,2020,Elevated
5455,LT,SGS4C,SGS4,11,5455_11,Y,4,3,2020,Elevated
2551,LT,SGS4B,SGS4,1,2551_1,Y,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,1,2551_1,Y,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,1,2551_1,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,1,2551_1,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,2,2551_2,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,2,2551_2,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,2,2551_2,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,2,2551_2,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,3,2551_3,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,3,2551_3,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,3,2551_3,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,3,2551_3,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,4,2551_4,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,4,2551_4,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,4,2551_4,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,4,2551_4,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,5,2551_5,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,5,2551_5,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,5,2551_5,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,5,2551_5,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,6,2551_6,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,6,2551_6,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,6,2551_6,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,6,2551_6,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,7,2551_7,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,7,2551_7,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,7,2551_7,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,7,2551_7,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,8,2551_8,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,8,2551_8,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,8,2551_8,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,8,2551_8,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,9,2551_9,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,9,2551_9,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,9,2551_9,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,9,2551_9,N,4,0,2020,Ambient
2551,LT,SGS4B,SGS4,10,2551_10,N,1,0,2020,Ambient
2551,LT,SGS4B,SGS4,10,2551_10,N,2,0,2020,Ambient
2551,LT,SGS4B,SGS4,10,2551_10,N,3,0,2020,Ambient
2551,LT,SGS4B,SGS4,10,2551_10,N,4,0,2020,Ambient
5480,LL,IHP1A,IHP1,1,5480_1,N,1,0,2020,Ambient
5480,LL,IHP1A,IHP1,1,5480_1,N,2,0,2020,Ambient
5480,LL,IHP1A,IHP1,1,5480_1,N,3,0,2020,Ambient
5480,LL,IHP1A,IHP1,1,5480_1,N,4,0,2020,Ambient
5480,LL,IHP1A,IHP1,2,5480_2,N,1,0,2020,Ambient
5480,LL,IHP1A,IHP1,2,5480_2,N,2,0,2020,Ambient
5480,LL,IHP1A,IHP1,2,5480_2,N,3,0,2020,Ambient
5480,LL,IHP1A,IHP1,2,5480_2,N,4,0,2020,Ambient
5480,LL,IHP1A,IHP1,3,5480_3,N,1,0,2020,Ambient
5480,LL,IHP1A,IHP1,3,5480_3,N,2,0,2020,Ambient
5480,LL,IHP1A,IHP1,3,5480_3,N,3,0,2020,Ambient
5480,LL,IHP1A,IHP1,3,5480_3,N,4,0,2020,Ambient
5480,LL,IHP1A,IHP1,4,5480_4,N,1,0,2020,Ambient
