Coral,Cross,Tank,System,SpawningDate,Spawned,Treatment
2534,LT,IHP1-A,IHP1,23/12/2021,N,Ambient
2532,LT,IHP1-A,IHP1,23/12/2021,N,Ambient
2596,LT,IHP1-A,IHP1,23/12/2021,N,Elevated
2610,LT,IHP1-A,IHP1,23/12/2021,N,Ambient
5435,LT,IHP1-A,IHP1,23/12/2021,N,Elevated
5480,LL,IHP1-A,IHP1,23/12/2021,N,Ambient
5488,LL,IHP1-A,IHP1,23/12/2021,N,Ambient
2564,LT,IHP1-B,IHP1,23/12/2021,N,Ambient
2629,LT,IHP1-B,IHP1,23/12/2021,N,Ambient
2554,LT,IHP1-B,IHP1,23/12/2021,N,Ambient
5478,LL,IHP1-B,IHP1,23/12/2021,N,Elevated
2549,LT,IHP1-B,IHP1,23/12/2021,N,Ambient
2575,LT,IHP1-B,IHP1,23/12/2021,N,Elevated
2621,LT,IHP1-B,IHP1,23/12/2021,N,Ambient
2612,LT,IHP1-B,IHP1,23/12/2021,N,Ambient
5495,LL,IHP1-D,IHP1,23/12/2021,N,Elevated
5128,LT,IHP1-D,IHP1,23/12/2021,N,NA
2580,LT,IHP1-C,IHP1,23/12/2021,N,Ambient
2614,LL,IHP1-C,IHP1,23/12/2021,N,Elevated
2541,LL,IHP1-C,IHP1,23/12/2021,N,Ambient
5532,LL,IHP1-C,IHP1,23/12/2021,N,Ambient
2602,LT,IHP1-C,IHP1,23/12/2021,N,Elevated
5481,LL,IHP1-C,IHP1,23/12/2021,N,Elevated
2609,LT,IHP1-C,IHP1,23/12/2021,N,Ambient
2546,LT,SGS4-B,SGS4,23/12/2021,N,Ambient
2563,LT,SGS4-B,SGS4,23/12/2021,N,Ambient
2551,LT,SGS4-B,SGS4,23/12/2021,Y,Ambient
5464,LT,SGS4-B,SGS4,23/12/2021,N,Ambient
2535,LT,SGS4-B,SGS4,23/12/2021,N,Ambient
2547,LT,SGS4-B,SGS4,23/12/2021,N,Ambient
2540,LT,SGS4-B,SGS4,23/12/2021,N,Ambient
5483,LL,SGS4-B,SGS4,23/12/2021,N,Ambient
5447,LL,SGS4-B,SGS4,23/12/2021,N,Ambient
5436,LT,SGS4-A,SGS4,23/12/2021,Y,Elevated
5519,LL,SGS4-A,SGS4,23/12/2021,N,Ambient
5499,LT,SGS4-A,SGS4,23/12/2021,N,Elevated
2601,LT,SGS4-A,SGS4,23/12/2021,N,Ambient
5463,LL,SGS4-A,SGS4,23/12/2021,N,Elevated
5501,LT,SGS4-A,SGS4,23/12/2021,N,Ambient
2561,LT,SGS4-A,SGS4,23/12/2021,N,Elevated
5518,LT,SGS4-A,SGS4,23/12/2021,N,Elevated
2611,LT,SGS4-A,SGS4,23/12/2021,N,Ambient
2578,LT,SGS4-A,SGS4,23/12/2021,N,Elevated
5462,LL,SGS4-C,SGS4,23/12/2021,N,Ambient
2623,LT,SGS4-C,SGS4,23/12/2021,N,NA
2599,LT,SGS4-C,SGS4,23/12/2021,N,NA
2624,LT,SGS4-C,SGS4,23/12/2021,N,Ambient
5456,LL,SGS4-C,SGS4,23/12/2021,N,Ambient
5455,LT,SGS4-C,SGS4,23/12/2021,N,Elevated
5491,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
2567,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
5531,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
5437,LL,SGS4-H,SGS4,23/12/2021,N,Elevated
5527,LL,SGS4-H,SGS4,23/12/2021,N,Elevated
5446,LL,SGS4-H,SGS4,23/12/2021,N,Elevated
5452,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
2573,LL,SGS4-H,SGS4,23/12/2021,N,Elevated
2627,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
2582,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
5485,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
5525,LL,SGS4-H,SGS4,23/12/2021,N,Elevated
5490,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
2576,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
2537,LL,SGS4-H,SGS4,23/12/2021,N,Elevated
5497,LL,SGS4-H,SGS4,23/12/2021,N,Ambient
2595,LT,SGS4-H,SGS4,23/12/2021,N,Ambient
5506,LT,IHP1-B,IHP1,23/12/2021,N,Elevated
2597,LT,IHP1-B,IHP1,23/12/2021,N,Ambient
5507,LT,SGS4-A,SGS4,23/12/2021,N,Elevated
2574,LL,IHP1-B,IHP1,23/12/2021,N,Elevated
2534,LT,IHP1-A,IHP1,24/12/2021,N,Ambient
2532,LT,IHP1-A,IHP1,24/12/2021,N,Ambient
2596,LT,IHP1-A,IHP1,24/12/2021,N,Elevated
2610,LT,IHP1-A,IHP1,24/12/2021,N,Ambient
5435,LT,IHP1-A,IHP1,24/12/2021,N,Elevated
5480,LL,IHP1-A,IHP1,24/12/2021,N,Ambient
5488,LL,IHP1-A,IHP1,24/12/2021,N,Ambient
2564,LT,IHP1-B,IHP1,24/12/2021,N,Ambient
2629,LT,IHP1-B,IHP1,24/12/2021,N,Ambient
2554,LT,IHP1-B,IHP1,24/12/2021,N,Ambient
5478,LL,IHP1-B,IHP1,24/12/2021,N,Elevated
2549,LT,IHP1-B,IHP1,24/12/2021,Y,Ambient
2575,LT,IHP1-B,IHP1,24/12/2021,N,Elevated
2621,LT,IHP1-B,IHP1,24/12/2021,N,Ambient
2612,LT,IHP1-B,IHP1,24/12/2021,N,Ambient
5495,LL,IHP1-D,IHP1,24/12/2021,N,Elevated
5128,LT,IHP1-D,IHP1,24/12/2021,N,NA
2580,LT,IHP1-C,IHP1,24/12/2021,N,Ambient
2614,LL,IHP1-C,IHP1,24/12/2021,N,Elevated
2541,LL,IHP1-C,IHP1,24/12/2021,N,Ambient
5532,LL,IHP1-C,IHP1,24/12/2021,N,Ambient
2602,LT,IHP1-C,IHP1,24/12/2021,N,Elevated
5481,LL,IHP1-C,IHP1,24/12/2021,N,Elevated
2609,LT,IHP1-C,IHP1,24/12/2021,N,Ambient
2546,LT,SGS4-B,SGS4,24/12/2021,N,Ambient
2563,LT,SGS4-B,SGS4,24/12/2021,Y,Ambient
2551,LT,SGS4-B,SGS4,24/12/2021,N,Ambient
5464,LT,SGS4-B,SGS4,24/12/2021,N,Ambient
2535,LT,SGS4-B,SGS4,24/12/2021,N,Ambient
2547,LT,SGS4-B,SGS4,24/12/2021,N,Ambient
2540,LT,SGS4-B,SGS4,24/12/2021,Y,Ambient
5483,LL,SGS4-B,SGS4,24/12/2021,N,Ambient
5447,LL,SGS4-B,SGS4,24/12/2021,N,Ambient
5436,LT,SGS4-A,SGS4,24/12/2021,Y,Elevated
5519,LL,SGS4-A,SGS4,24/12/2021,N,Ambient
5499,LT,SGS4-A,SGS4,24/12/2021,Y,Elevated
2601,LT,SGS4-A,SGS4,24/12/2021,Y,Ambient
5463,LL,SGS4-A,SGS4,24/12/2021,N,Elevated
5501,LT,SGS4-A,SGS4,24/12/2021,N,Ambient
2561,LT,SGS4-A,SGS4,24/12/2021,N,Elevated
5518,LT,SGS4-A,SGS4,24/12/2021,N,Elevated
2611,LT,SGS4-A,SGS4,24/12/2021,N,Ambient
2578,LT,SGS4-A,SGS4,24/12/2021,Y,Elevated
5462,LL,SGS4-C,SGS4,24/12/2021,N,Ambient
2623,LT,SGS4-C,SGS4,24/12/2021,N,NA
2599,LT,SGS4-C,SGS4,24/12/2021,N,NA
2624,LT,SGS4-C,SGS4,24/12/2021,Y,Ambient
5456,LL,SGS4-C,SGS4,24/12/2021,N,Ambient
5455,LT,SGS4-C,SGS4,24/12/2021,N,Elevated
5491,LL,SGS4-H,SGS4,24/12/2021,N,Ambient
2567,LL,SGS4-H,SGS4,24/12/2021,N,Ambient
5531,LL,SGS4-H,SGS4,24/12/2021,N,Ambient
5437,LL,SGS4-H,SGS4,24/12/2021,N,Elevated
5527,LL,SGS4-H,SGS4,24/12/2021,N,Elevated
5446,LL,SGS4-H,SGS4,24/12/2021,N,Elevated
5452,LL,SGS4-H,SGS4,24/12/2021,N,Ambient
2573,LL,SGS4-H,SGS4,24/12/2021,Y,Elevated
